Id,routeId,nameZh,nameEn,seqNo,pgp,goBack,longitude,latitude,address,coordinate
154236,16731,崇義高中(五堵車站),Chongyi High School(Wudu Rail Sta.),6,,0,121.6676204,25.07733,大同路三段89號同向(向南),"121.6676204, 25.07733"
154237,16731,國泰醫院,Cathay General Hospital,7,,0,121.66475,25.07167,地標同向(向西),"121.66475, 25.07167"
154238,16731,汐止,Xizhi,8,,0,121.6616891,25.06917666,新北市汐止區大同路二段523號(向南),"121.6616891, 25.06917666"
154239,16731,汐止公園,Xizhi Park,9,,0,121.659997,25.067906,大同路二段459號(向西南),"121.659997, 25.067906"
154240,16731,江北橋頭,Jiangbei Bridge,10,,0,121.6559524,25.067698,新北市汐止區汐萬路一段20號,"121.6559524, 25.067698"
154241,16731,江北社區,Jiangbei Community,11,,0,121.65474,25.07009,汐止區汐萬路一段81號對面(向北),"121.65474, 25.07009"
27914,15224,復興崗,Fuxinggang 本路線實施行駛外側車道依序進站載客,41,,0,121.4923517,25.13807076,中央北路二段227號同向(向南),"121.4923517, 25.13807076"
154208,16732,正德國中,Zhengde Junior High School,65,,1,121.447544,25.178458,新北市淡水區北新路102號對面(向西),"121.447544, 25.178458"
154210,16732,米粉寮,Mifenliao,67,,1,121.4447595,25.180451,新北市淡水區中山北路一段255號對面(向北),"121.4447595, 25.180451"
154211,16732,摩天31,Motian 31,68,,1,121.4431515,25.181216,新北市淡水區新春路193號同向,"121.4431515, 25.181216"
154212,16732,加州社區,California community,70,,1,121.441427,25.181942,新北市淡水區新春街119號(向西),"121.441427, 25.181942"
154213,16732,東宇花園城,Dongyu Garden City,71,,1,121.4386875,25.182381,新北市淡水區新春街81號,"121.4386875, 25.182381"
154214,16732,新春街新民街口,Xinchun & Xinmin Intersection,73,,1,121.4359416,25.181196,新民街103號對面(向西),"121.4359416, 25.181196"
154215,16732,高爾夫山莊,Gaoerfu village,74,,1,121.4352268,25.183075,新北市淡水區新民街320號北側25公尺,"121.4352268, 25.183075"
154218,16732,輕軌台北海洋大學站,LRT Taipei University of Marine Technology Sta.,85,-1,1,121.426436,25.190968,淡水區濱海路三段150號旁後車亭(向東),"121.426436, 25.190968"
