name,star,comment,class,address,latitude,longitude
滿上-仙草愛玉茶飲專賣店-正義北店,4.4,118,冰品飲料店,新北市三重區正義北路231號1樓,25.0690676,121.4960269
好了啦紅茶冰-三重車路頭,4.9,15,冰品飲料店,新北市三重區車路頭街50號,25.0721624,121.4838146
鶴玥茶坊,4.8,35,冰品飲料店,新北市三重區中正北路256號,25.0681206,121.4813597
麻古茶坊三重正義店,4,192,冰品飲料店,新北市三重區正義北路61號,25.064415,121.497399
得正#三重正義計劃 Oolong Tea Project,3.9,220,冰品飲料店,新北市三重區正義北路46號,25.0636445,121.4972927
都渴以 三重店,4.6,48,冰品飲料店,新北市三重區文化北路226巷49號,25.0691258,121.4964408
茶詠春-創始店（三重中正北店）,4.7,365,冰品飲料店,新北市三重區中正北路189-1號,25.0696736,121.4773844
金茶伍手作飲品-三重車路頭門市 woo cha tea shop,4.9,422,冰品飲料店,新北市三重區車路頭街99號,25.0745059,121.4846201
清心福全三重重陽店-珍珠奶茶手搖飲料專賣店,3.3,134,冰品飲料店,新北市三重區重陽路一段71號,25.058788,121.486902
進發家-三重三和店,3.7,125,冰品飲料店,新北市三重區三和路三段32號,25.070546,121.4962337
清心福全三重自強店-珍珠奶茶手搖飲料專賣店,3.8,90,冰品飲料店,新北市三重區自強路一段314號,25.0684778,121.4910977
貞茶社,5,31,冰品飲料店,新北市三重區信義街50號隔壁,25.0652024,121.5009461
紅茶洋行-三重國隆店,4.7,76,冰品飲料店,新北市三重區國隆路16號,25.0639905,121.4929275
62茶亭（三重店）,4.9,159,冰品飲料店,新北市三重區文化北路244號,25.0697731,121.4973473
COMEBUY_三重大同店,3.6,158,冰品飲料店,新北市三重區大同北路42號,25.0628124,121.4951365
零下21°C 綿綿冰,4.4,925,冰品飲料店,新北市三重區重新路四段106號,25.0567129,121.4873572
50嵐 重新店,3.8,204,冰品飲料店,新北市三重區重新路三段5號,25.0616888,121.4953704
黑丸嫩仙草 三重重新店,4.7,12,冰品飲料店,新北市三重區重新路四段244巷50號,25.0538551,121.4882003
好了啦紅茶冰三重大仁店,2.9,14,冰品飲料店,新北市三重區大仁街58號,25.0650128,121.4921911
山頂潑 Mountain Pour,4.9,843,冰品飲料店,新北市三重區捷運路19巷4弄2號,25.05642,121.4850958
微堂well done 三重店,4.9,165,冰品飲料店,新北市三重區車路頭街176號,25.077,121.4836897
米茶meetea(三和店),4.3,66,冰品飲料店,新北市三重區三和路二段95號,25.0685116,121.4995745
三和古早味鮮奶茶?MilkTea,5,70,冰品飲料店,新北市三重區中央北路74號三和夜市,25.0663508,121.5002456
桃鳳湯,3.8,6,冰品飲料店,新北市三重區三陽路11-1號,25.0588877,121.4860931
源陞紅茶,4.7,67,冰品飲料店,新北市三重區車路頭街116號,25.075129,121.4841499
CoCo都可 三重中正北店,4.2,206,冰品飲料店,新北市三重區中正北路362號,25.0694624,121.4771702
COMEBUY_三重自強,4,28,冰品飲料店,新北市三重區自強路三段17號,25.0722645,121.4870682
水月手工冰棒,4.7,143,冰品飲料店,新北市三重區力行路一段179巷8-2號,25.0700447,121.4848481
龜記茗品 正義北店,4.2,206,冰品飲料店,新北市三重區正義北路12號,25.0628279,121.4975392
李記紅茶冰-三重文化北店,4.2,38,冰品飲料店,新北市三重區文化北路33-7號,25.0646671,121.4992314
冬瓜幫,4.5,53,冰品飲料店,新北市三重區公園街17號,25.0729409,121.4991904
紅茶洋行-三重三和店,3.8,13,冰品飲料店,新北市三重區三和路四段7號,25.0741898,121.4914861
天一青草茶,4.5,110,冰品飲料店,新北市三重區自強路一段29號,25.0678291,121.4981957
COMEBUY力行店,3.6,146,冰品飲料店,新北市三重區車路頭街167號,25.0775085,121.4837213
虎您嘎飲 回甘茶品手搖飲 現炸手?饅頭 手炒黑糖,4.6,32,冰品飲料店,新北市中寮街31號中段右側 1樓,25.0588751,121.49254
紅茶洋行 三重永福店,4.8,20,冰品飲料店,新北市三重區永福街175-1號,25.0754942,121.4787742
一手私藏世界紅茶 三重三和店,4.2,153,冰品飲料店,新北市三重區三和路二段16-1號,25.067202,121.500655
清心福全三重大同北店-珍珠奶茶手搖飲料專賣店,3.5,64,冰品飲料店,新北市三重區大同北路53號,25.0632336,121.495293
米家冰品,4.3,192,冰品飲料店,新北市三重區正義北路278－1號,25.0690833,121.4956628
清心福全三重集美店-珍珠奶茶手搖飲料專賣店,3.8,89,珍珠奶茶,新北市三重區集美街136號,25.0532024,121.489421
清水糖,4.3,322,冰品飲料店,新北市三重區文化北路31之1號,25.0640766,121.4994638
泡泡茶冷熱飲雞排專賣店,4.6,23,冰品飲料店,新北市三重區介壽路39巷78號,25.0704251,121.5004625
林心堂青草茶,0,0,冰品飲料店,新北市三重區大仁街35號1樓,25.0653046,121.492922
清心福全三重力行店-珍珠奶茶手搖飲料專賣店,4.1,93,冰品飲料店,新北市三重區力行路二段119號,25.0764585,121.4829458
50嵐 正義店,3.7,243,冰品飲料店,新北市三重區正義北路251號,25.0696346,121.4958072
順星站,4.5,19,冰品飲料店,新北市三重區三和路四段20巷124號,25.0730151,121.4881036
50嵐三重文化店,3.5,177,冰品飲料店,新北市三重區文化北路61-3號,25.0664063,121.4986898
可可亞.楊桃汁,4.7,18,冰品飲料店,新北市三重區正義北路2巷,25.0624858,121.4977638
老賴茶棧新北三重店,4,94,冰品飲料店,沒有地址,25.082865,121.4922853
"馥御私房手作茶,牛奶,羊奶,奶蓋專賣,黑糖珍珠奶茶、鮮奶茶專賣店,手搖飲,OATLY燕麥奶,焦糖布蕾奶蓋,預約外送,開放加盟中",4.9,1,冰品飲料店,新北市三重區中央北路26號,25.0642994,121.5005795
101飲料專賣店,3,14,冰品飲料店,新北市三重區自強路五段,25.080065,121.4918066
趙平米苔目黑糖剉冰,4.4,93,冰品飲料店,新北市三重區大同北路184巷12號,25.0654137,121.4914903
杯杯樂【綠豆沙】專賣店,4.8,81,冰品飲料店,新北市三重區文化北路22-2號,25.0642503,121.4992035
