name,class,address,latitude,longitude,"latitude, longitude"
新北市中和區秀山國民小學,小學,新北市中和區立人街2號,24.9951577,121.5211448,"24.9951577, 121.5211448"
新北市中和區積穗國民小學,小學,新北市中和區員山路154號,24.9992287,121.4821015,"24.9992287, 121.4821015"
新北市中和區自強國民小學,小學,新北市中和區莒光路200號,24.9983879,121.471818,"24.9983879, 121.471818"
新北市中和區錦和國民小學,小學,新北市中和區圓通路292號,24.9898743,121.4893351,"24.9898743, 121.4893351"
新北市中和區景新國民小學,小學,新北市中和區景新街467巷37號,24.9895503,121.5157675,"24.9895503, 121.5157675"
新北市永和區永和國民小學,小學,新北市永和區秀朗路一段120號,25.0033711,121.516948,"25.0033711, 121.516948"
新北市永和區秀朗國民小學,小學,新北市永和區得和路202號,24.9989399,121.5213727,"24.9989399, 121.5213727"
新北市永和區頂溪國民小學,小學,新北市永和區文化路133號,25.0152952,121.5114852,"25.0152952, 121.5114852"
新北市永和區網溪國民小學,小學,新北市永和區竹林路79號,25.0131925,121.5200381,"25.0131925, 121.5200381"
新北市永和區永平國民小學,小學,新北市永和區保生路25號,25.0076661,121.505072,"25.0076661, 121.505072"
新北市土城區土城國民小學,小學,新北市土城區興城路17號,24.9720709,121.4421155,"24.9720709, 121.4421155"
新北市土城區清水國民小學,小學,新北市土城區金城路二段356號,24.984827,121.4612011,"24.984827, 121.4612011"
新北市土城區頂埔國民小學,小學,新北市土城區中央路四段205號,24.9560423,121.4143186,"24.9560423, 121.4143186"
新北市土城區廣福國民小學,小學,新北市土城區學府路一段127號,24.9868943,121.454876,"24.9868943, 121.454876"
新北市汐止區汐止國民小學,小學,新北市汐止區大同路二段313號,25.0670642,121.6545593,"25.0670642, 121.6545593"
臺北市中山區長安國民小學,小學,台北市中山區吉林路15號,25.0498254,121.5301942,"25.0498254, 121.5301942"
新北市汐止區保長國民小學,小學,新北市汐止區大同路三段553號,25.071773,121.680851,"25.071773, 121.680851"
Chongde Elementary School,小學,新北市汐止區茄苳路158號,25.0695778,121.6691867,"25.0695778, 121.6691867"
新北市汐止區北港國民小學,小學,新北市汐止區汐萬路二段279號,25.0888467,121.6452485,"25.0888467, 121.6452485"
新北市汐止區北峰國民小學,小學,新北市汐止區環河街1號,25.0633154,121.6323479,"25.0633154, 121.6323479"
新北市汐止區東山國民小學,小學,新北市汐止區汐平路二段76號,25.0600444,121.7000861,"25.0600444, 121.7000861"
新北市汐止區白雲國民小學,小學,新北市汐止區民權街二段90號,25.04766,121.618851,"25.04766, 121.618851"
新北市萬里區萬里國民小學,小學,新北市萬里區瑪鋉路18號,25.1761503,121.689228,"25.1761503, 121.689228"
新北市萬里區野柳國民小學,小學,新北市萬里區港東路167號,25.2054436,121.6893652,"25.2054436, 121.6893652"
